0.0 1:3.44345827109	 2:1.29029275636	 3:1.41032265647	 
0.0 1:3.42718522983	 2:1.10996857725	 3:1.41887907718	 
0.0 1:3.420144171	 2:0.927708935113	 3:1.34750555838	 
0.0 1:3.42022232512	 2:0.739968544168	 3:1.2116218358	 
0.0 1:3.41859937636	 2:0.564089629431	 3:1.09875245163	 
0.0 1:3.40219255182	 2:0.430630117924	 3:1.14220094958	 
0.0 1:3.37425291365	 2:0.311508495507	 3:1.29408519507	 
0.0 1:3.35540115028	 2:0.126594434229	 3:1.32127281935	 
0.0 1:3.33926265993	 2:-0.0769256841741	 3:1.31197788978	 
0.0 1:3.32469914389	 2:-0.266359938177	 3:1.29943000376	 
0.0 1:3.3174666387	 2:-0.434944429221	 3:1.23953455188	 
0.0 1:3.31825340855	 2:-0.586068590517	 3:1.12399529257	 
0.0 1:3.31883022604	 2:-0.739742858879	 3:1.0084053867	 
0.0 1:3.31618238779	 2:-0.902857913223	 3:0.913447769944	 
0.0 1:3.31355688561	 2:-1.06715115484	 3:0.81745155937	 
0.0 1:3.31417053805	 2:-1.22072107512	 3:0.701623456732	 
0.0 1:3.32043360477	 2:-1.3439966634	 3:0.559555425093	 
0.0 1:3.33373034904	 2:-1.42231833213	 3:0.390030096292	 
0.0 1:3.35264576951	 2:-1.46018076941	 3:0.201847532211	 
0.0 1:3.37522038589	 2:-1.4658043205	 3:0.00575626363081	 
0.0 1:3.39952932894	 2:-1.44721417569	 3:-0.187649053845	 
0.0 1:3.42463260359	 2:-1.40688229938	 3:-0.372152354346	 
0.0 1:3.45069303011	 2:-1.34106244277	 3:-0.546440527723	 
0.0 1:3.47772352931	 2:-1.24807220143	 3:-0.709411748869	 
0.0 1:3.50497322979	 2:-1.13500009312	 3:-0.859783860403	 
0.0 1:3.53188764076	 2:-1.00401747188	 3:-0.994403746203	 
0.0 1:3.55634532092	 2:-0.840785442713	 3:-1.08489692761	 
0.0 1:3.57720263333	 2:-0.658256380486	 3:-1.13086342116	 
0.0 1:4.04428383254	 2:-0.572965370751	 3:-1.31200380486	 
0.0 1:4.0345539739	 2:-0.44936836373	 3:-1.13789824437	 
0.0 1:4.018922134	 2:-0.255105497038	 3:-1.07261774119	 
0.0 1:4.00044702219	 2:-0.0268912408249	 3:-1.06433483766	 
0.0 1:3.98218734782	 2:0.198559934756	 3:-1.06122207607	 
0.0 1:3.96720182025	 2:0.384533559553	 3:-1.01145199875	 
0.0 1:3.95809096986	 2:0.499803984675	 3:-0.87149935336	 
0.0 1:3.95382514355	 2:0.556633867225	 3:-0.663617827776	 
0.0 1:3.95146226788	 2:0.590277084983	 3:-0.440675376568	 
0.0 1:3.94685087837	 2:0.651001894465	 3:-0.251245658087	 
0.0 1:3.9356705795	 2:0.791271778007	 3:-0.138423562282	 
0.0 1:3.91912673367	 2:0.996660469044	 3:-0.0796933532547	 
0.0 1:3.90348262572	 2:1.18981864023	 3:-0.0769643521927	 
0.0 1:3.89154570771	 2:1.33436634662	 3:-0.216191526035	 
0.0 1:3.87591418314	 2:1.52553203055	 3:-0.304948036693	 
0.0 1:3.86389721895	 2:1.67514360183	 3:-0.241211373211	 
0.0 1:3.86028173111	 2:1.72358679056	 3:-0.0512183522718	 
0.0 1:3.86303313423	 2:1.69462276045	 3:0.197666307907	 
0.0 1:3.87000392126	 2:1.6133941455	 3:0.437461358876	 
0.0 1:3.87968588138	 2:1.49753203146	 3:0.619089461667	 
0.0 1:3.89207491551	 2:1.34699462164	 3:0.737949670497	 
0.0 1:3.907163387	 2:1.16200181628	 3:0.800298343412	 
0.0 1:3.92330813636	 2:0.963629344908	 3:0.845642370466	 
0.0 1:3.93825667098	 2:0.780711283705	 3:0.925292091615	 
0.0 1:3.95156147069	 2:0.618899819066	 3:1.0456320961	 
0.0 1:3.96410916581	 2:0.466713193037	 3:1.17989051979	 
0.0 1:3.97657447522	 2:0.315468456435	 3:1.31041215353	 
0.0 1:3.9891851628	 2:0.162364831908	 3:1.43772638103	 
0.0 1:4.00212101959	 2:0.00523289091158	 3:1.56431438567	 
0.0 1:4.01558606369	 2:-0.158461479043	 3:1.68938882932	 
0.0 1:4.02999344322	 2:-0.334400373096	 3:1.78394821953	 
0.0 1:4.04571097084	 2:-0.527894375952	 3:1.80962477167	 
0.0 1:4.06192158701	 2:-0.728839358225	 3:1.76735160727	 
0.0 1:4.07725225146	 2:-0.919897276253	 3:1.67654425548	 
0.0 1:4.09022553281	 2:-1.08251423466	 3:1.55299791135	 
0.0 1:4.09899226823	 2:-1.19391639058	 3:1.39415615761	 
0.0 1:4.10377912426	 2:-1.25680570437	 3:1.20479468057	 
0.0 1:4.10652944662	 2:-1.29486609037	 3:1.00004252375	 
